,Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,State,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen,Mon,Tue,Wed,Thu,Fri,Sat,Sun
16134,92007,Fort,Starbucks,18225-189165,,JV,"Elphinstone Building, Horniman Circle, Veer Nariman Road, Fort","Elphinstone Building, Horniman Circle","Veer Nariman Road, Fort",,Mumbai,MH,IN,400001,"(18.9323081970215, 72.8340911865234)",18.9323082,72.83409119,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,352,107,300,356,462,515,385
16141,92339,Goregaon East - Oberoi Mall,Starbucks,17857-186566,,JV,"Off Western Express Highway, Goregaon (East)",Off Western Express Highway,Goregaon (East),,Mumbai,MH,IN,400063,"(19.1740646362305, 72.8605346679688)",19.17406464,72.86053467,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,392,184,358,378,509,580,389
16168,92340,Colaba,Starbucks,18224-189164,,JV,"Hotel Taj Mahal Palace, Apollo Bunder, Apollo Bunder, Opp. Gateway of India","Hotel Taj Mahal Palace, Apollo Bunder","Apollo Bunder, Opp. Gateway of India",,Mumbai,MH,IN,400005,"(18.9214763641357, 72.8324356079102)",18.92147636,72.83243561,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,264,134,367,437,456,585,422
16513,113937,Powai,Starbucks,18649-193713,,JV,"Prudential Bldg Hiranandani Bus Park, Gr Fl, Central Avenue Road",Prudential Bldg Hiranandani Bus Park,"Gr Fl, Central Avenue Road",,Mumbai,MH,IN,400076,"(19.1162853240967, 72.9096832275391)",19.11628532,72.90968323,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,356,132,345,443,506,556,373
16517,113947,Indira Gandhi Itnl Arpt-T3Gate15,Starbucks,19513-197406,,JV,"International Departure, Near Gate 15, Terminal  3",International Departure,"Near Gate 15, Terminal  3",,New Delhi,DL,IN,110037,"(28.5563220977783, 77.1025009155273)",28.5563221,77.10250092,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,321,104,362,435,485,528,413
16536,113948,Indira Gandhi Itnl Arpt-T3Gate27,Starbucks,19514-197404,,JV,"Domestic Departure, Near Gate 27, Terminal  3",Domestic Departure,"Near Gate 27, Terminal  3",,New Delhi,DL,IN,110037,"(28.5577163696289, 77.0975036621094)",28.55771637,77.09750366,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,270,140,311,342,494,577,448
16560,113991,Connaught Place - A Block,Starbucks,19063-198205,,JV,"Hamilton House, A Block, Inner Circle",Hamilton House,"A Block, Inner Circle",,New Delhi,DL,IN,110001,"(28.6321887969971, 77.2177581787109)",28.6321888,77.21775818,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,352,127,301,307,469,591,398
16562,113994,Elphinstone Road (West),Starbucks,18409-190784,,JV,"First Floor, Tower 2 Lobby, Indiabulls Finance Centre","First Floor, Tower 2 Lobby",Indiabulls Finance Centre,,Mumbai,MH,IN,400013,"(19.0099964141846, 72.8355941772461)",19.00999641,72.83559418,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,371,106,261,416,514,568,448
16740,116388,Vasant Kunj - Ambience Mall,Starbucks,18971-197487,,JV,"1st Floor, Ambience Mall, Nelson Mandela Marg","1st Floor, Ambience Mall",Nelson Mandela Marg,,New Delhi,DL,IN,110070,"(28.540771484375, 77.1550827026367)",28.54077148,77.1550827,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,324,172,288,295,457,546,385
16755,116390,Ghatkopar West,Starbucks,19034-197924,,JV,"Gound Floor, R City Mall, Lal Bahadur Shastri Marg","Gound Floor, R City Mall",Lal Bahadur Shastri Marg,,Mumbai,MH,IN,400086,"(19.0997409820557, 72.916389465332)",19.09974098,72.91638947,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,337,171,379,322,465,593,431
16772,116421,Chhatrapati Shivaji DomesticAirport,Starbucks,19618-200365,,JV,"Domestic Arrivals, Terminal 1B, Santa Cruz (East)",Domestic Arrivals,"Terminal 1B, Santa Cruz (East)",,Mumbai,MH,IN,400099,"(19.0919761657715, 72.8560638427734)",19.09197617,72.85606384,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,366,111,380,422,463,561,445
16821,116474,Malad West - Infiniti Mall,Starbucks,19524-202205,,JV,"Upper Ground Floor, Infiniti Mall, Link Road,  Malad (West)","Upper Ground Floor, Infiniti Mall","Link Road,  Malad (West)",,Mumbai,MH,IN,400064,"(19.1849346160889, 72.834228515625)",19.18493462,72.83422852,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,349,133,362,402,525,568,373
16911,116610,Saket,Starbucks,19363-201204,,JV,"Ground Floor, Select City Walk Mall",Ground Floor,Select City Walk Mall,,New Delhi,DL,IN,110017,"(28.5285835266113, 77.2190093994141)",28.52858353,77.2190094,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,353,132,350,410,536,575,372
16980,1005202,Nehru Place,Starbucks,19518-200666,,JV,"Lower Ground Floor, Nehru Place Metro Station",Lower Ground Floor,Nehru Place Metro Station,,New Delhi,DL,IN,110064,"(28.5511474609375, 77.2517852783203)",28.55114746,77.25178528,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,380,147,362,409,464,515,411
17102,1005335,Greater Kailash 1,Starbucks,20176-203905,,JV,"M Block Market, Greater Kailash 1",M Block Market,Greater Kailash 1,,New Delhi,DL,IN,110048,"(28.5496501922607, 77.2364196777344)",28.54965019,77.23641968,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-08-2013 22:41,399,122,330,419,541,589,445
